Date,Price,Open,High,Low,Vol.,Change %
2024-12-19,3418.84,3627.82,3719.52,3337.46,1170000.0,-5.76
2024-12-18,3627.88,3892.79,3902.3,3620.61,781620.0,-6.81
2024-12-17,3892.79,3986.91,4040.69,3851.17,493600.0,-2.36
2024-12-16,3986.91,3959.89,4102.9,3885.84,726410.0,0.68
2024-12-15,3959.81,3871.13,3973.48,3832.12,272400.0,2.29
2024-12-14,3871.13,3906.78,3943.06,3828.23,287750.0,-0.98
2024-12-13,3909.48,3881.57,3966.5,3853.92,417740.0,0.72
2024-12-12,3881.63,3831.7,3985.32,3797.58,634180.0,1.31
2024-12-11,3831.41,3628.97,3848.02,3564.79,509730.0,5.58
2024-12-10,3628.94,3718.98,3778.81,3521.57,1020000.0,-2.42
2024-12-09,3718.98,4002.91,4005.08,3550.21,1020000.0,-7.09
2024-12-08,4002.91,3996.25,4015.24,3924.77,273270.0,0.17
2024-12-07,3996.24,3998.92,4023.96,3969.39,303070.0,-0.08
2024-12-06,3999.51,3785.07,4084.99,3780.34,864640.0,5.66
2024-12-05,3785.1,3836.23,3950.67,3696.83,1050000.0,-1.33
2024-12-04,3836.25,3615.07,3885.69,3615.07,1060000.0,6.12
2024-12-03,3615.07,3643.5,3669.4,3510.19,729650.0,-0.78
2024-12-02,3643.48,3707.86,3756.7,3561.95,799750.0,-1.75
2024-12-01,3708.33,3702.96,3743.78,3660.98,465310.0,0.14
2024-11-30,3702.97,3592.13,3733.47,3572.64,563910.0,3.09
2024-11-29,3592.13,3578.42,3642.95,3539.02,472940.0,0.38
2024-11-28,3578.41,3653.26,3661.4,3530.79,613220.0,-2.06
2024-11-27,3653.79,3326.3,3684.68,3303.79,827390.0,9.85
2024-11-26,3326.3,3412.15,3460.4,3254.45,729510.0,-2.52
2024-11-25,3412.18,3361.47,3544.71,3301.68,1020000.0,1.51
2024-11-24,3361.41,3393.92,3448.58,3285.45,525450.0,-0.96
2024-11-23,3393.91,3327.68,3495.09,3316.84,785630.0,1.99
2024-11-22,3327.77,3356.42,3424.47,3261.04,661770.0,-0.85
2024-11-21,3356.43,3069.96,3386.41,3034.44,1060000.0,9.34
2024-11-20,3069.72,3106.07,3158.15,3030.91,550530.0,-1.17
2024-11-19,3105.97,3207.54,3219.8,3066.26,549160.0,-3.16
2024-11-18,3207.46,3075.42,3220.65,3052.29,698670.0,4.29
2024-11-17,3075.42,3132.04,3160.1,3037.49,485170.0,-1.81
2024-11-16,3132.0,3089.44,3215.9,3072.83,456290.0,1.38
2024-11-15,3089.45,3058.15,3128.59,3015.75,557270.0,1.02
2024-11-14,3058.22,3187.02,3238.39,3038.03,661290.0,-4.04
2024-11-13,3187.02,3244.57,3326.89,3117.79,988070.0,-1.71
2024-11-12,3242.44,3372.15,3440.05,3209.16,1040000.0,-3.85
2024-11-11,3372.13,3185.97,3384.62,3107.45,1060000.0,5.84
2024-11-10,3186.05,3126.25,3247.49,3076.4,925650.0,1.87
2024-11-09,3127.69,2961.62,3153.38,2954.56,560620.0,5.62
2024-11-08,2961.34,2894.2,2981.51,2887.19,598520.0,2.32
2024-11-07,2894.13,2721.85,2914.81,2700.01,784350.0,6.33
2024-11-06,2721.85,2422.5,2740.34,2422.03,1070000.0,12.36
2024-11-05,2422.5,2398.95,2478.74,2380.8,365020.0,0.98
2024-11-04,2398.95,2457.68,2490.21,2362.91,335810.0,-2.39
2024-11-03,2457.68,2492.54,2496.33,2411.72,305380.0,-1.39
2024-11-02,2492.45,2511.96,2523.41,2472.02,158360.0,-0.78
2024-11-01,2511.96,2519.14,2584.17,2471.45,463340.0,-0.28
2024-10-31,2519.14,2658.62,2668.39,2506.64,432070.0,-5.25
2024-10-30,2658.62,2638.64,2719.9,2600.61,494310.0,0.76
2024-10-29,2638.64,2567.41,2679.5,2561.32,486720.0,2.77
2024-10-28,2567.41,2507.82,2587.71,2473.03,393160.0,2.39
2024-10-27,2507.39,2482.52,2525.37,2465.72,148630.0,1.0
2024-10-26,2482.52,2441.2,2506.39,2430.77,265530.0,1.69
2024-10-25,2441.18,2535.87,2564.13,2386.98,550790.0,-3.73
2024-10-24,2535.87,2524.64,2561.75,2508.98,312650.0,0.39
2024-10-23,2526.1,2622.91,2625.51,2463.67,385150.0,-3.65
2024-10-22,2621.79,2666.66,2671.28,2607.54,293690.0,-1.68
2024-10-21,2666.66,2747.28,2766.1,2656.65,336970.0,-2.93
2024-10-20,2747.28,2647.42,2757.52,2635.82,280670.0,3.77
2024-10-19,2647.39,2641.72,2662.63,2631.27,113680.0,0.21
